df_index,simulation_index,f_laser,f_R_outer,f_Pi,f_Be,f_rho,current,Y_TDT,Y_rhoRDT,Y_minus_peak_IFAR,Y_minus_current
211,216,0.898093550466001,0.9636815806850791,1.0012610058486462,0.7158815478906035,1.21365125477314,30.957176610827446,4882.1837582,6.2464405413276225,-4.673459595959595,-1.5478588305413723
110,110,1.1389759415760636,0.9432530779391528,0.9872607988119125,0.6059483531862497,1.4125661328434944,33.67674756795168,4863.2142094,8.64453870750038,-3.926781798245615,-1.683837378397584
390,397,1.3655937146395445,1.007515873014927,1.0134230992570519,0.5213584806770086,1.1832422753795981,52.01664723455906,4828.220705,20.00566738797825,-5.872809152872443,-2.600832361727953
54,54,0.9007519073784351,1.0027398560196161,0.9960590910539031,0.5666741449385881,0.8686338420957327,38.4211316332221,4822.8990277,11.003150150443485,-6.490551115551116,-1.9210565816611052
317,324,1.1244528144598007,0.9742594512179494,1.0101124015823006,0.6799948615953326,0.8669765396043658,29.170793443918228,4819.4769067,5.4446404033055265,-4.766262376237624,-1.4585396721959114
374,381,1.1640354385599494,1.0050221724435688,1.0189112242683769,0.5975876683369279,1.2037830920889974,27.58579384535551,4819.116426,5.004476055065305,-5.439277715565508,-1.3792896922677755
62,62,0.7803012924268842,0.9946422034874559,1.012203203588724,0.5541105614975095,1.0623990157619119,38.13522156327963,4810.4881815,11.583038005089865,-5.924723101265824,-1.9067610781639814
556,563,1.2162585472688079,1.0350021978840234,0.9983380816504359,0.5225238092243671,0.7381791789084673,26.013247929513454,4794.5326158,4.2414193615056135,-6.2035559244126635,-1.3006623964756727
212,217,0.6333008455112576,0.9611959071829915,0.9844626107439398,0.7527767745777965,1.3267870983108878,32.289728447794914,4779.4477235,6.495530286700716,-4.709449621432733,-1.6144864223897457
580,587,0.873684418387711,0.9810363393276931,0.9969437899440527,0.6395817892625928,1.2596164522692561,51.81497663259506,4750.8649497,17.784145108837325,-5.333504746835445,-2.590748831629753
680,687,1.45655279699713,1.0563452357426286,0.985084368698299,0.5070389611646533,1.325169898569584,25.33430814743042,4720.5718222,3.6147267987546194,-6.670709703287889,-1.266715407371521
56,56,1.3389245960861444,0.9558331210166217,1.00870146676898,0.514972597360611,1.1530181923881173,31.420017518103123,4720.0552934,8.037024102697243,-4.000080541237113,-1.5710008759051561
635,642,1.2776144305244088,0.9464139550924302,0.985042050294578,0.708230746909976,1.2641821848228574,30.362093411386013,4719.7549583,6.1420459307100135,-4.311641414141414,-1.5181046705693007
407,414,1.4513851404190063,1.0532469065859915,0.9946999837830662,0.5707670180127025,1.4752083094790578,47.872430719435215,4655.2239971,11.664444333974522,-8.462930396149577,-2.3936215359717607
379,386,1.0784731023013592,0.9889941750094295,1.0074192069098353,0.6747217513620853,1.2659256840124726,27.8053929656744,4647.9703601,4.756044329265534,-5.1056313131313145,-1.39026964828372
79,79,0.8616718091070652,0.9595847506076098,0.9853108583763242,0.5181083083152771,0.9258105037733912,33.76497603952885,4644.5047739,9.231659975689368,-4.335232585320243,-1.6882488019764423
389,396,1.1428110226988792,1.0035801731050016,1.0017122650891543,0.669956318102777,1.0423352140933275,27.17943001538515,4642.2828402,4.06032168339721,-5.366944444444443,-1.3589715007692575
498,505,1.322781004011631,1.070550741441548,0.9882267076522112,0.556856139563024,1.0390662336722016,24.923649579286575,4634.2845182,2.9976260867946167,-6.948175621491581,-1.2461824789643288
717,724,1.0241846377030015,0.9707707004621625,0.9982252470031381,0.777438105084002,0.7810917794704437,28.354906998574734,4618.3823814,4.33863248034535,-4.636021916411823,-1.4177453499287367
114,118,1.4267478408291936,0.9452733727172018,1.016004870198667,0.9802699433639646,0.8133725747466087,29.589369036257267,4576.2723142,3.573188956972545,-4.14598069554966,-1.4794684518128633
626,633,1.1208516601473093,1.054576550796628,0.9918052918463945,0.6102837286889553,0.6904922388494015,25.501919351518154,4570.3351175,2.980121929803121,-6.6668475485189,-1.2750959675759077
337,344,1.0410097278654575,1.0499278893694282,1.0195001171156763,0.6232773074880242,0.5953892450779676,25.511445738375187,4493.3429836,3.213979761465925,-6.349886526516961,-1.2755722869187593
289,296,1.1094188755378127,0.9564078615978361,1.016203444376588,0.7171539161354303,1.4034922746941447,28.839110173285007,4436.0944744,5.737115327335934,-4.322030268418047,-1.4419555086642504
151,155,1.136724978685379,1.0784500526264311,0.9974205569922924,0.545033685863018,1.2450923761352897,24.71533052623272,4430.3094805,3.1388137919022028,-7.064534883720931,-1.235766526311636
335,342,1.0948346685618162,0.9954410700127483,1.0021610776335002,0.5639378065243363,1.093763917684555,51.54196761548519,4423.9897455,18.72759063015476,-5.610245253164557,-2.5770983807742596
557,564,1.0666743712499738,1.0927168322727085,1.0113984243944287,0.6267983559519053,0.5667735552415252,24.060105495154858,4404.9605521,2.0425091211964923,-7.384838935574225,-1.2030052747577429
59,59,1.30433985684067,0.9206802552565932,1.014132207557559,0.9954802086576819,0.8300524391233921,35.957715436816216,4391.6823799,6.836945232391766,-3.3278409090909093,-1.7978857718408108
342,349,0.9827249022200704,1.0987723203375936,1.003719730898738,0.6479731639847159,0.6773007409647107,24.04922503978014,4371.4775483,1.720844965861677,-7.605027251864598,-1.202461251989007
664,671,1.4803122282028198,1.0557073676958681,1.004271418787539,0.7375389821827412,0.7380163194611669,24.008688516914845,4362.4469885,1.6393588302659838,-6.8230472831765905,-1.2004344258457422
693,700,1.2462718170136213,0.9085768602788449,1.0155334833264351,1.318546200171113,1.408634513616562,33.0355304479599,4351.6954464,2.9408716558602044,-3.850275578326346,-1.651776522397995
